Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
342,WISE 0625+5646,37.2,30,,1.18,5909.27524
343,WISE 0627-1114,28,30,,1.18,5909.27524
344,WISE 0647-6232,54.1,30,,1.18,5909.27524
345,WISE 0656+4205,23.2,30,,1.18,5909.27524
346,WISE 0713-2917,45.7,30,,1.18,5909.27524
347,WISE 0723+3403,78.3,30,,1.18,5909.27524
348,WISE 0733+7544,34.9,30,,1.18,5909.27524
349,WISE 0734-7157,47.3,30,,1.18,5909.27524
350,WISE 0744+5628,51.5,30,,1.18,5909.27524
351,WISE 0750+2725,39.1,30,,1.18,5909.27524
352,WISE 0751-7634,38.8,30,,1.18,5909.27524
353,WISE 0759-4904,32,30,,1.18,5909.27524
354,WISE 0811-8051,63.6,30,,1.18,5909.27524
355,WISE 0812+4021,46,30,,1.18,5909.27524
356,WISE 0819-0335,68.2,30,,1.18,5909.27524
357,WISE 0821+1443,72.4,30,,1.18,5909.27524
358,WISE 0836-1859,42.1,30,,1.18,5909.27524
359,WISE 0857+5604,51.5,30,,1.18,5909.27524
360,WISE 0906+4735,64.9,30,,1.18,5909.27524
361,WISE 0929+0409,72.1,30,,1.18,5909.27524
362,WISE 0952+1955,47.6,30,,1.18,5909.27524
363,WISE 1018-2445,56.8,30,,1.18,5909.27524
364,WISE 1019+6529,47.3,30,,1.18,5909.27524
365,WISE 1039-1600,53.2,30,,1.18,5909.27524
366,WISE 1042-3842,40.8,30,,1.18,5909.27524
367,WISE 1051-2138,57.7,30,,1.18,5909.27524
368,WISE 1122+2550,50.6,30,,1.18,5909.27524
369,WISE 1124-0421,102,30,,1.18,5909.27524
370,WISE 1147-2040,32.9,30,,1.18,5909.27524
371,WISE 1150+6302,34.2,30,,1.18,5909.27524
372,WISE 1217+1626A,34.2,12,,1.18,2363.710096
373,WISE 1217+1626B,55.4,6,,1.18,1181.855048
374,WISE 1225-1013,44.4,30,,1.18,5909.27524
375,WISE 1311+0122,86.1,30,,1.18,5909.27524
376,WISE 1311+3629,32.9,30,,1.18,5909.27524
377,WISE 1318-1758,56.1,30,,1.18,5909.27524
378,WISE 1320+6034,33.9,30,,1.18,5909.27524
379,WISE 1322-2340,91,30,,1.18,5909.27524
380,WISE 1348+6603,25.3,30,,1.18,5909.27524
381,WISE 1405+5534,84.8,30,0.86,0.86,11125.03359
382,WISE 1433-0837,60,30,,1.18,5909.27524
383,WISE 1436-1814,52.2,30,,1.18,5909.27524
384,WISE 1457+5815,11.1,30,,1.18,5909.27524
385,WISE 1506+7027,72.4,30,,1.18,5909.27524
386,WISE 1517+0529,50.9,30,,1.18,5909.27524
387,WISE 1519+7009,84.5,30,,1.18,5909.27524
388,WISE 1523+3125,20,30,,1.18,5909.27524
389,WISE 1541-2250,41.1,30,,1.18,5909.27524
390,WISE 1542+2230,55.4,30,,1.18,5909.27524
391,WISE 1612-3420,32.6,30,,1.18,5909.27524
392,WISE 1614+1739,50.2,30,,1.18,5909.27524
393,WISE 1617+1807,52.2,30,,1.18,5909.27524
394,WISE 1622-0959,50.2,30,,1.18,5909.27524
395,WISE 1627+3255,16.3,30,,1.18,5909.27524
396,WISE 1639-6847,28,30,,1.18,5909.27524
397,WISE 1647+5632,39.5,30,,1.18,5909.27524
398,WISE 1653+4444,60.3,30,,1.18,5909.27524
399,WISE 1711+3500,72.7,30,,1.18,5909.27524
400,WISE 1717+6129,62.3,30,,1.18,5909.27524
401,WISE 1721+1117,97.8,30,,1.18,5909.27524
402,WISE 1728+5716,20,30,,1.18,5909.27524
403,WISE 1738+2732,18.9,30,,1.18,5909.27524
404,WISE 1741+2553,83.8,30,,1.18,5909.27524
